ID,Name,Age,Salary,Department
1,David,35,44513.29,IT
2,Eve,47,124446.28,IT
3,Charlie,63,98424.60,Marketing
4,Eve,50,53716.52,Sales
5,Eve,39,70988.35,HR
6,Bob,23,115789.59,Sales
7,Charlie,55,69510.63,Sales
8,Charlie,63,59710.86,Marketing
9,Charlie,65,52775.06,Sales
10,Eve,55,42290.74,IT
11,David,69,126160.41,IT
12,Charlie,28,96221.42,IT
13,Eve,63,52658.69,Marketing
14,Bob,58,84872.94,IT
15,David,24,120364.53,Marketing
16,Bob,41,82786.92,Finance
17,David,25,58870.00,Marketing
18,Eve,29,58159.74,IT
19,Alice,27,37883.36,Marketing
20,David,28,36781.23,Sales
21,Bob,37,74136.10,IT
22,Eve,55,75370.65,IT
23,David,61,101184.37,Sales
24,Alice,40,129997.58,HR
25,Alice,39,45407.06,HR
26,Charlie,62,34714.10,Sales
27,Charlie,39,41049.68,Marketing
28,Bob,56,67138.69,Finance
29,David,58,112361.26,Finance
30,David,20,54688.91,HR
31,Charlie,52,49107.54,HR
32,David,33,35349.67,IT
33,David,35,89362.79,HR
34,Alice,30,78258.67,HR
35,Charlie,39,97962.03,Marketing
36,Eve,26,94890.02,Finance
37,Charlie,23,96290.57,Finance
38,Eve,64,94613.55,IT
39,Alice,26,54528.46,Sales
40,Bob,35,71210.04,HR
41,David,69,55090.72,Marketing
42,Alice,62,121000.88,Sales
43,David,50,88367.90,Marketing
44,Bob,55,110421.72,Sales
45,Bob,68,57351.38,HR
46,Alice,39,114909.87,Marketing
47,Bob,50,49779.54,Sales
48,Eve,61,34819.78,Sales
49,Bob,46,130454.15,IT
50,David,33,38590.93,Finance
51,David,21,58961.34,IT
52,David,53,53863.58,IT
53,David,27,56111.46,Sales
54,Eve,49,52548.01,IT
55,Charlie,49,47127.25,HR
56,Alice,31,106499.37,HR
57,David,37,104699.71,IT
58,Bob,35,101409.86,Sales
59,David,20,94901.83,Marketing
60,Bob,23,77756.78,Finance
61,Bob,35,88382.49,HR
62,David,49,37691.35,HR
63,Eve,26,76646.66,HR
64,Bob,43,117394.76,Sales
65,Bob,62,56335.29,IT
66,David,68,100271.39,Marketing
67,Bob,59,44342.65,HR
68,Bob,65,42504.36,Sales
69,David,36,103269.69,Finance
70,David,23,60580.57,Sales
71,Alice,19,62978.18,Finance
72,Eve,45,85243.89,Finance
73,Eve,65,106902.93,IT
74,Bob,37,126094.97,Sales
75,Eve,31,55705.68,Finance
76,Bob,50,81390.57,IT
77,Alice,21,76582.98,HR
78,David,45,61285.21,Finance
79,David,54,110579.34,Sales
80,David,59,71946.32,Marketing
81,Eve,47,73718.96,Finance
82,Alice,35,37442.88,Sales
83,Eve,26,82001.07,Sales
84,Eve,24,116671.42,Marketing
85,Alice,53,58945.70,Sales
86,Alice,32,126758.71,IT
87,Alice,44,85035.08,Finance
88,Alice,66,74618.61,Marketing
89,David,22,80880.93,IT
90,Charlie,60,61201.05,Marketing
91,Charlie,55,99038.77,Marketing
92,Alice,22,110983.42,IT
93,Charlie,39,36960.29,Sales
94,Charlie,40,116885.96,HR
95,Alice,30,37382.98,Sales
96,Charlie,23,103157.18,Marketing
97,Eve,64,94192.05,HR
98,Bob,62,95772.48,HR
99,Bob,62,88500.71,Sales
100,Alice,59,129348.31,Marketing
101,David,51,37464.40,Finance
102,Alice,19,103852.92,Finance
103,David,26,68057.58,IT
104,Bob,39,86764.46,Finance
105,Alice,43,92678.82,IT
106,Eve,37,49697.76,Finance
107,Charlie,27,46812.65,Sales
108,David,38,54741.30,Sales
109,Charlie,28,57469.78,Marketing
110,Charlie,57,65136.65,Marketing
111,Alice,38,42698.42,Finance
112,Charlie,35,69902.36,Marketing
113,Eve,19,124227.62,Marketing
114,Charlie,53,103575.54,Finance
116,Eve,67,65846.98,Finance
115,Alice,46,102508.76,IT
117,Bob,39,89820.87,HR
118,Charlie,33,57334.96,Sales
119,Alice,41,67973.78,HR
120,Bob,19,67370.01,Marketing
121,Bob,48,106823.26,Marketing
122,David,43,82343.73,Marketing
123,Eve,24,68997.77,Sales
124,Charlie,53,51979.38,Finance
125,Alice,54,124112.09,Sales
126,David,35,65144.04,IT
127,Eve,44,63115.78,Finance
128,David,47,65960.21,HR
129,Eve,27,55768.84,HR
